cell_id,recommended_primary_role,replacement_priority_score,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance,nearest_n150_distance_percentile,water_fraction,pedestrian_shelter_fraction,overhead_fraction_total,qa_flags,replacement_rationale,sampling_boundary,claim_boundary,score_typology_gap_fill,score_spatial_gap_fill,score_anchor_like_replication,score_neutral_boundary_replication,score_sparse_feature_space,score_control_cell
TP_0189,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,3.180039603745969,0.7195301027900147,0.0100418083069589,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0213,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,3.2844335602026895,0.73568281938326,0.0,0.003422655255178,0.003422655255178,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0214,typology_gap_fill,85.0,west_south,commercial,TP_0141,TP_0326,4.671620687184031,0.8707782672540382,0.0,0.0169660646070748,0.0763472907318499,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0326; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,20.0
TP_0217,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,2.2504234124830855,0.48164464023494863,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0219,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,2.75450036084535,0.6255506607929515,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0241,typology_gap_fill,85.0,west_south,commercial,TP_0141,TP_0326,3.0527605238814144,0.6960352422907489,0.0,0.0236325721503289,0.0236325721503289,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0326; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0247,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,1.4593250971006209,0.14977973568281938,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,20.0
TP_0265,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,2.201503567968456,0.4698972099853157,0.0,0.0056559858112219,0.0254519361504772,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0305,typology_gap_fill,85.0,west_south,park_open_space,TP_0433,TP_0492,2.3216049357307593,0.5066079295154186,0.0,0.0,0.0,west_south_improvement|anchor_shortfall_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports anchor shortfall TP_0433; supports neutral diversity TP_0492; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,75.0,75.0,10.0,55.0
TP_0306,typology_gap_fill,85.0,east_south,park_open_space,TP_0857,TP_0301,4.048124304980594,0.8281938325991189,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0314,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,1.962741393091405,0.37738619676945667,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0315,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,4.081647138435057,0.8296622613803231,0.0,0.0,0.1080847513074185,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0342,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,1.9787825886777854,0.38619676945668135,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0343,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,2.5576481065698315,0.5770925110132159,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0358,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,1.9496867254652501,0.37298091042584436,0.0,0.0008814182127464,0.0008814182127464,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,55.0
TP_0387,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,1.5528922092445683,0.19383259911894274,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,20.0
TP_0401,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,3.0549004680400365,0.697503671071953,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0429,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,2.495245066207343,0.5550660792951542,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0473,typology_gap_fill,85.0,west_south,commercial,TP_0857,TP_0301,1.4021235618592223,0.12334801762114538,0.0,0.0,0.0,west_south_improvement|neutral_diversity_improvement,"typology_gap_fill; improves west_south support; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,75.0,10.0,75.0,10.0,20.0
TP_0485,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,1.5153259347233068,0.17180616740088106,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,20.0
TP_0486,typology_gap_fill,85.0,east_south,commercial,TP_0857,TP_0301,2.215674843995231,0.47577092511013214,0.0825470782372354,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0508,typology_gap_fill,85.0,west_north,park_open_space,TP_0857,TP_0301,1.9713282956914275,0.38179148311306904,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0513,typology_gap_fill,85.0,east_north,park_open_space,TP_0857,TP_0301,4.557684621512551,0.8649045521292217,0.0,0.0046995681716975,0.0281117009839288,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,20.0
TP_0558,typology_gap_fill,85.0,west_north,commercial,TP_0857,TP_0301,1.8126006552099565,0.31718061674008813,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0559,typology_gap_fill,85.0,west_north,commercial,TP_0857,TP_0301,2.493579924636509,0.5521292217327459,0.0,0.0036677689230134,0.0043971370702363,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0561,typology_gap_fill,85.0,west_north,commercial,TP_0857,TP_0301,2.725562584432092,0.6152716593245228,0.0,0.0044392942965109,0.0044392942965109,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0562,typology_gap_fill,85.0,west_north,commercial,TP_0857,TP_0326,3.0463318080745148,0.6945668135095447,0.0,0.0069506055922197,0.0069506055922197,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0326; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
TP_0563,typology_gap_fill,85.0,west_north,commercial,TP_0141,TP_0326,1.681475033140539,0.24669603524229075,0.0,0.0177955110765368,0.0669652450556152,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0326; adds undercovered typology commercial; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,20.0
TP_0618,typology_gap_fill,85.0,west_north,park_open_space,TP_0433,TP_0492,5.212642877922829,0.9074889867841409,0.0,0.0,0.0,anchor_shortfall_improvement|neutral_diversity_improvement,"typology_gap_fill; supports anchor shortfall TP_0433; supports neutral diversity TP_0492; adds undercovered typology park_open_space; does not add residential/transport concentration; retains sparse feature-space diagnostic value; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,75.0,75.0,55.0,20.0
TP_0620,typology_gap_fill,85.0,west_north,park_open_space,TP_0857,TP_0301,1.7896403460052974,0.3039647577092511,0.0,0.0,0.0,neutral_diversity_improvement,"typology_gap_fill; supports neutral diversity TP_0301; adds undercovered typology park_open_space; does not add residential/transport concentration; candidate design replacement only, not run-ready.",candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling.",85.0,15.0,10.0,75.0,10.0,55.0
