system,lane_id,lane_name,status,classification,branch,purpose,commands_recorded,configs,scripts,docs,output_dir,key_outputs,key_findings,accepted_conclusion,caveats,forbidden_claims,next_action,reentry_command
System A,A-L2.1a,station features,PASS_FEATURE_TABLE,DIAGNOSTIC,codex/systema-l2-station-buffer-source-acquisition,Build station-local explanatory feature table without residual modeling.,python scripts/v11_l2_run_station_buffer_source_acquisition.py --config configs/v11/systema_l2_station_buffer_source_acquisition.yaml,configs/v11/systema_l2_station_buffer_source_acquisition.yaml; configs/v11/systema_l2_station_buffer_features.yaml,scripts/v11_l2_run_station_buffer_source_acquisition.py,docs/v11/OpenHeat_SystemA_L2_station_buffer_source_acquisition_CN.md; docs/v11/OpenHeat_SystemA_L2_station_buffer_features_CN.md,outputs/v11_systema_l2_residual/station_buffer_features_s1,outputs/v11_systema_l2_residual/station_buffer_features_s1/A_L2_1A_S1_STATUS.md; outputs/v11_systema_l2_residual/station_buffer_features_s1/station_buffer_feature_wide_s1.csv,Station feature source and buffer build created explanatory covariates.,Feature table may support explanatory sidecar only.,No residual modeling.; No correction output.,station-adjusted WBGT; local 100m WBGT,Feed A-L2.1b QA.,python scripts/v11_l2_run_station_buffer_source_acquisition.py --config configs/v11/systema_l2_station_buffer_source_acquisition.yaml
System A,A-L2.1b,feature QA,PASS_FEATURE_QA_READY_FOR_SCOPED_MODEL,DIAGNOSTIC,codex/systema-l2-station-feature-qa,"QA station buffer features, collinearity, caveats, and readiness for scoped preflight.",python scripts/v11_l2_run_station_feature_qa.py --config configs/v11/systema_l2_station_feature_qa.yaml,configs/v11/systema_l2_station_feature_qa.yaml,scripts/v11_l2_run_station_feature_qa.py,docs/v11/OpenHeat_SystemA_L2_station_feature_QA_CN.md,outputs/v11_systema_l2_residual/station_feature_qa,outputs/v11_systema_l2_residual/station_feature_qa/A_L2_1B_STATUS.md; outputs/v11_systema_l2_residual/station_feature_qa/station_feature_qa_summary.csv,Feature interpretation narrowed to station-level explanatory context.; S142/S139 caveats explicit.,Proceed only to station-level n=27 scoped preflight.,Probability-error screens secondary.; Static station features only at station level.,station-adjusted WBGT; causal correction,A-L2.1c scoped residual preflight.,python scripts/v11_l2_run_station_feature_qa.py --config configs/v11/systema_l2_station_feature_qa.yaml
System A,A-L2.1c,scoped residual preflight,A_L2_SCOPED_SIGNAL_PROMISING,EXPLANATORY_ONLY,not recorded,Test station-context residual explanation under small-n station constraints.,python scripts/v11_l2_run_scoped_residual_preflight.py --config configs/v11/systema_l2_scoped_residual_preflight.yaml,configs/v11/systema_l2_scoped_residual_preflight.yaml,scripts/v11_l2_run_scoped_residual_preflight.py,docs/v11/OpenHeat_SystemA_L2_scoped_residual_preflight_CN.md,outputs/v11_systema_l2_residual/scoped_residual_preflight,outputs/v11_systema_l2_residual/scoped_residual_preflight/A_L2_1C_STATUS.md; outputs/v11_systema_l2_residual/scoped_residual_preflight/l2_scoped_decision_matrix.csv; outputs/v11_systema_l2_residual/scoped_residual_preflight/l2_scoped_residual_preflight_report.md,Weak high-tail station-context signal.; Score residual not identifiable.; No correction layer.,Level 2 remains explanatory sidecar only.,"n=26/27 station constraints.; S142/S139 caveats.; Coefficients descriptive, not causal.",station correction; station-adjusted WBGT; local 100m WBGT; System B modifier,Only future explanatory protocol after longer archive and better metadata/SVF/LCZ/siting.,not_applicable
System B,B8.5-F0,multi-forcing preflight,PASS,ACCEPTED_PRECHECK,not recorded,Select N24 cells and forcing days for controlled multi-forcing sensitivity.,B8.5-F0b documentation hygiene patch only; no QGIS/SOLWEIG execution,configs/v12/systemb_b85_multiforcing_preflight.yaml,,docs/v12/OpenHeat_SystemB_B8_5_multiforcing_preflight_CN.md,outputs/v12_surrogate/b8_5_multiforcing_preflight,outputs/v12_surrogate/b8_5_multiforcing_preflight/B8_5_F0_STATUS.md; outputs/v12_surrogate/b8_5_multiforcing_preflight/b85_f0_solweig_run_matrix.csv,N24 cell set and forcing days selected.; No QGIS/SOLWEIG run.,"Allowed preparation of future execution package, not B9.",A-L1H outputs absent in B8 worktree for some inventory references.,local WBGT; risk; B9 AOI inference,Prepare execution package.,not_applicable
System B,B8.5-F1,execution package,PASS,ACCEPTED_PRECHECK,not recorded,Prepare SOLWEIG execution skeleton and manifest validation without running QGIS.,python -m compileall scripts/v12_b85_prepare_execution_package.py scripts/v12_b85_validate_execution_package.py scripts/qgis/v12_b85_qgis_solweig_execution_SKELETON.py,configs/v12/systemb_b85_f1_execution_package.yaml,scripts/qgis/v12_b85_qgis_solweig_execution_SKELETON.py,docs/v12/OpenHeat_SystemB_B8_5_execution_package_CN.md,outputs/v12_surrogate/b8_5_execution_package,outputs/v12_surrogate/b8_5_execution_package/B8_5_F1_STATUS.md; outputs/v12_surrogate/b8_5_execution_package/b85_f1_manifest_validation.csv,Manifest validation failed checks: none.; Asset readiness partial.,Execution package prepared; no B9 approval.,Local-only output root placeholder.,QGIS run by Codex; SOLWEIG run by Codex; local WBGT; risk,Resolve asset readiness.,not_applicable
System B,B8.5-F2a-F2d,asset readiness and met forcing,READY_FOR_MANUAL_QGIS after F2d,ACCEPTED_PRECHECK,not recorded,Move from missing assets to ready-for-human-manual-QGIS precheck without running SOLWEIG.,F2a/F2b/F2c/F2d readiness scripts recorded in status outputs,configs/v12/systemb_b85_f2_asset_readiness.yaml; configs/v12/systemb_b85_f2b_asset_recovery_remap.yaml; configs/v12/systemb_b85_f2c_fd02_met_forcing.yaml; configs/v12/systemb_b85_f2d_readiness_final.yaml,,docs/v12/OpenHeat_SystemB_B8_5_F2_asset_readiness_CN.md; docs/v12/OpenHeat_SystemB_B8_5_F2d_readiness_final_CN.md,outputs/v12_surrogate/b8_5_f2d_readiness_final,outputs/v12_surrogate/b8_5_f2_asset_readiness/B8_5_F2A_STATUS.md; outputs/v12_surrogate/b8_5_f2c_met_forcing/B8_5_F2C_STATUS.md; outputs/v12_surrogate/b8_5_f2d_readiness_final/B8_5_F2D_STATUS.md,F2a initially 0/480 ready.; FD02 met forcing generated local-only.; F2d reached READY_FOR_MANUAL_QGIS.,Human-controlled manual QGIS execution could proceed after F2d.,Generated met forcing files are local-only and not commit-safe.,Codex ran QGIS; local WBGT; risk; B9,Human-controlled F3 execution lanes.,not_applicable
System B,B8.5-F3a/F3b,microbatch and one-cell full slice,MICRO_BATCH_EXECUTED_PASS / ONECELL_SLICE_EXECUTED_PASS,ACCEPTED_EXECUTION_EVIDENCE,not recorded,Validate human-run microbatch and one-cell full slice before N24 full execution.,Human QGIS/SOLWEIG execution recorded by run logs; Codex did not run QGIS/SOLWEIG,configs/v12/systemb_b85_f3a_microbatch_execution.yaml; configs/v12/systemb_b85_f3b_onecell_fullslice.yaml,scripts/qgis/v12_b85_f3a_microbatch_qgis_runner.py; scripts/qgis/v12_b85_f3b_onecell_qgis_runner.py,docs/v12/OpenHeat_SystemB_B8_5_F3a_microbatch_execution_CN.md; docs/v12/OpenHeat_SystemB_B8_5_F3b_onecell_fullslice_CN.md,outputs/v12_surrogate/b8_5_f3b_onecell,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md; outputs/v12_surrogate/b8_5_f3a_raster_qa/B8_5_F3A_QA_STATUS.md; outputs/v12_surrogate/b8_5_f3b_onecell/B8_5_F3B_STATUS.md,Microbatch and one-cell slice outputs validated.; Raster QA pass after human execution.,N24 full execution could proceed after staged validation.,Not full 480 by itself.; No Tmrt-to-WBGT conversion.,B9; local WBGT; risk,B8.5-F3c N24 full execution review.,not_applicable
System B,B8.5-F3c,N24 multi-forcing,N24_STABILITY_REVIEW_READY,ACCEPTED_EXECUTION_EVIDENCE,codex/b85-f3c-n24-full-execution,Prepare and validate N24 / 480-run controlled multi-forcing evidence and stability summaries.,python scripts/v12_b85_f3c_prepare_n24.py --config configs/v12/systemb_b85_f3c_n24_full_execution.yaml; python scripts/v12_b85_f3c_validate_n24.py --config configs/v12/systemb_b85_f3c_n24_full_execution.yaml; python scripts/v12_b85_f3c_raster_qa.py --config configs/v12/systemb_b85_f3c_n24_full_execution.yaml; python scripts/v12_b85_f3c_stability_summary.py --config configs/v12/systemb_b85_f3c_n24_full_execution.yaml,configs/v12/systemb_b85_f3c_n24_full_execution.yaml,scripts/v12_b85_f3c_prepare_n24.py; scripts/v12_b85_f3c_validate_n24.py; scripts/qgis/v12_b85_f3c_n24_qgis_runner.py,docs/v12/OpenHeat_SystemB_B8_5_F3c_N24_full_execution_CN.md,outputs/v12_surrogate/b8_5_f3c_n24,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md; outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_report.md; outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_stability_summary.csv,"N24 postrun, raster QA, alignment QA, and stability summary passed.; B9 remained blocked.","N24 evidence supported a decision gate, not AOI/B9.",Codex/Python did not run QGIS/SOLWEIG.; h10 caveated.,B9; local WBGT; risk; full AOI,B8.5-F4 decision matrix.,python scripts/v12_b85_f3c_stability_summary.py --config configs/v12/systemb_b85_f3c_n24_full_execution.yaml
System B,B8.5-F4,N24 decision,F4_N24_DECISION_PASS,ACCEPTED_DECISION,codex/b85-f4-n24-decision-matrix,Decide what N24 evidence supports before N150 or B9 movement.,python scripts/v12_b85_run_f4_n24_decision_matrix.py --config configs/v12/systemb_b85_f4_n24_decision.yaml,configs/v12/systemb_b85_f4_n24_decision.yaml,scripts/v12_b85_f4_n24_decision_matrix.py; scripts/v12_b85_run_f4_n24_decision_matrix.py,docs/v12/OpenHeat_SystemB_B8_5_F4_N24_decision_matrix_CN.md,outputs/v12_surrogate/b8_5_f4_n24_decision,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md; outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_report.md; outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,delta_tmrt_p90_c ready as target-card variable.; N150 controlled execution allowed after precheck.; B9 blocked.,N150 controlled execution could proceed after precheck; no B9.,h10 stable with caveat.; No surrogate trained in F4.,local WBGT; risk; B9; Tmrt-to-WBGT conversion,B8.5-F5 N150 multi-forcing execution package.,python scripts/v12_b85_run_f4_n24_decision_matrix.py --config configs/v12/systemb_b85_f4_n24_decision.yaml
System B,B8.5-F5,N150 multi-forcing / final ML label source,N150_MULTIFORCING_STABILITY_REVIEW_READY,ACCEPTED_LABEL_SOURCE,codex/b85-f5-n150-multiforcing-precheck,"Prepare, validate, merge, and summarize N150 / 3000-run multi-forcing final ML label source.",python scripts/v12_b85_f5_prepare_n150_multiforcing.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml; python scripts/v12_b85_f5_validate_n150_multiforcing.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml; python scripts/v12_b85_f5_raster_qa.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml; python scripts/v12_b85_f5_label_merge.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml; python scripts/v12_b85_f5_stability_summary.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml,configs/v12/systemb_b85_f5_n150_multiforcing.yaml,scripts/qgis/v12_b85_f5_n150_qgis_runner.py,docs/v12/OpenHeat_SystemB_B8_5_F5_N150_multiforcing_CN.md,outputs/v12_surrogate/b8_5_f5_n150_multiforcing,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md; outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_report.md; outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv,F5 is final ML label source used by later B87 protocol parity.; B9 remained blocked pending promotion review.,F5 became the accepted N150 multi-forcing label source for surrogate review.,"SOLWEIG simulated Tmrt labels, not observed truth.; No Codex QGIS/SOLWEIG execution.",B9; local WBGT; risk; observed truth,Surrogate promotion and feature-source review.,python scripts/v12_b85_f5_stability_summary.py --config configs/v12/systemb_b85_f5_n150_multiforcing.yaml
System B,B8.6,surrogate protocol baseline,B86_WEAK_BASELINE_NEEDS_N150_MULTIFORCING,DIAGNOSTIC,codex/b86-surrogate-protocol-baseline,Create surrogate protocol and baseline gate using available labels before promotion.,python scripts/v12_b86_run_surrogate_protocol.py --config configs/v12/systemb_b86_surrogate_protocol.yaml,configs/v12/systemb_b86_surrogate_protocol.yaml,scripts/v12_b86_run_surrogate_protocol.py,docs/v12/OpenHeat_SystemB_B8_6_surrogate_protocol_CN.md,outputs/v12_surrogate/b8_6_surrogate_protocol,outputs/v12_surrogate/b8_6_surrogate_protocol/B8_6_STATUS.md; outputs/v12_surrogate/b8_6_surrogate_protocol/b86_report.md,Baseline was weak and required N150 multi-forcing before promotion/B9.,No promotion; require N150 multi-forcing and harder validation.,Existing labels single-forcing at that point.; N24 stress-validation context only.,B9; local WBGT; risk,N150 multi-forcing precheck/control execution and hardening.,python scripts/v12_b86_run_surrogate_protocol.py --config configs/v12/systemb_b86_surrogate_protocol.yaml
System B,B8.6b-B8.6f,surrogate promotion / feature hardening / closure,B86F_SURROGATE_CLOSURE_PASS,DIAGNOSTIC_SUPERSEDED_BY_B87,codex/b86b/c/d/e/f series,"Stress test N150 surrogate candidates, identify spatial/typology failures, and design N300 follow-up.",B86b/B86c/B86d/B86e/B86f run scripts recorded in status files,configs/v12/systemb_b86b_surrogate_promotion.yaml; configs/v12/systemb_b86c_feature_hardening.yaml; configs/v12/systemb_b86d_two_stage_surrogate.yaml; configs/v12/systemb_b86e_spatial_feature_closure.yaml; configs/v12/systemb_b86f_surrogate_closure.yaml,scripts/v12_b86b_run_surrogate_promotion.py; scripts/v12_b86c_run_feature_hardening.py; scripts/v12_b86d_run_two_stage_surrogate.py; scripts/v12_b86f_run_surrogate_closure.py,docs/v12/OpenHeat_SystemB_B8_6b_surrogate_promotion_CN.md; docs/v12/OpenHeat_SystemB_B8_6f_surrogate_closure_CN.md,outputs/v12_surrogate/b8_6f_surrogate_closure,outputs/v12_surrogate/b8_6b_surrogate_promotion/B8_6B_STATUS.md; outputs/v12_surrogate/b8_6c_feature_hardening/B8_6C_STATUS.md; outputs/v12_surrogate/b8_6f_surrogate_closure/B8_6F_STATUS.md,Weak but real N150 signal did not support AOI/B9.; Spatial holdout and anchor/neutral failures drove N300 design.; Vector/compact feature acquisition recommended.,B8.6 series is diagnostic and superseded by N300 B87 evidence.,Labels are SOLWEIG-derived Tmrt deltas.; Feature importance non-causal.,AOI-wide prediction; B9; local WBGT; risk,B8.6g feature acquisition and B8.7 N300 design.,not_applicable
