selection_rank,cell_id,final_selection_status,selection_tier,primary_role,secondary_roles,typology_label,rationale,evidence_summary,expected_target_test,expected_p90_p95_max_question,expected_threshold_area_question,expected_overhead_question,expected_pedestrian_relevance_question,caveat,source_files
11,TP_0433,selected_legacy_diagnostic,added16,shaded_or_canopy_reference,street_canyon_wall_adjacent|water_edge_or_blue_green,tree_shaded_reference,Shaded/canopy reference strengthens exposed-vs-shaded contrast.,svf=0.040; shade=0.907; bldg_density=0.017; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_epsilon_continuity|v12_candidate_seed|v10_non_raster_features
12,TP_0857,selected_new,added16,street_canyon_wall_adjacent,,hdb_canyon,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.042; shade=0.811; bldg_density=0.690; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v12_candidate_seed|v10_non_raster_features
13,TP_0828,selected_new,added16,street_canyon_wall_adjacent,,wall_adjacent,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.010; shade=0.821; bldg_density=0.627; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v12_candidate_seed|v10_non_raster_features
14,TP_0802,selected_new,added16,covered_walkway_or_pedestrian_overhead,transport_overhead_or_viaduct|water_edge_or_blue_green|overhead_sensitivity_probe,near_water,Transport overhead/viaduct diagnostic tests overhead sensitivity without treating it as ordinary hotspot.,svf=0.699; shade=0.249; bldg_density=0.000; overhead=0.619,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v12_candidate_seed|v10_non_raster_features
15,TP_0492,selected_new,added16,shaded_or_canopy_reference,street_canyon_wall_adjacent|water_edge_or_blue_green|grass_or_open_park,dense_shaded_low_svf,Shaded/canopy reference strengthens exposed-vs-shaded contrast.,svf=0.028; shade=0.887; bldg_density=0.362; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v12_candidate_seed|v10_non_raster_features
16,TP_0037,selected_new,added16,street_canyon_wall_adjacent,covered_walkway_or_pedestrian_overhead|transport_overhead_or_viaduct|overhead_sensitivity_probe,other,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.338; shade=0.348; bldg_density=0.597; overhead=0.218,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
17,TP_0058,selected_new,added16,water_edge_or_blue_green,,water,Selected to improve typology and diagnostic coverage.,svf=0.618; shade=0.226; bldg_density=0.122; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
18,TP_0409,selected_new,added16,street_canyon_wall_adjacent,covered_walkway_or_pedestrian_overhead|overhead_sensitivity_probe,civic_institutional,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.182; shade=0.702; bldg_density=0.129; overhead=0.113,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
19,TP_0098,selected_new,added16,covered_walkway_or_pedestrian_overhead,water_edge_or_blue_green|overhead_sensitivity_probe,civic_institutional,Selected to improve typology and diagnostic coverage.,svf=0.380; shade=0.467; bldg_density=0.246; overhead=0.035,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
20,TP_0960,selected_new,added16,open_paved_hardscape,covered_walkway_or_pedestrian_overhead|grass_or_open_park|threshold_area_probe,park_open_space,Selected to improve typology and diagnostic coverage.,svf=0.831; shade=0.064; bldg_density=0.059; overhead=0.013,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Does future threshold-area exceedance identify the same cells as p90?,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
21,TP_0115,selected_new,added16,water_edge_or_blue_green,,water,Selected to improve typology and diagnostic coverage.,svf=0.565; shade=0.269; bldg_density=0.126; overhead=0.000,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
22,TP_0254,selected_new,added16,street_canyon_wall_adjacent,covered_walkway_or_pedestrian_overhead|overhead_sensitivity_probe,residential,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.115; shade=0.734; bldg_density=0.391; overhead=0.097,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,How much does overhead_as_canopy change p90 and companion metrics?,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
23,TP_0675,selected_new,added16,covered_walkway_or_pedestrian_overhead,water_edge_or_blue_green,civic_institutional,Selected to improve typology and diagnostic coverage.,svf=0.568; shade=0.348; bldg_density=0.106; overhead=0.028,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
24,TP_0154,selected_new,added16,street_canyon_wall_adjacent,covered_walkway_or_pedestrian_overhead|grass_or_open_park,park_open_space,Canyon/wall-adjacent morphology tests low-SVF structural contrast.,svf=0.029; shade=0.958; bldg_density=0.021; overhead=0.001,p90 provisional target with mean/p75/p95/max companions,Does p90 align with p75/p95/max companions for this typology?,Use as companion threshold-area check when aggregator adds pct_pixels_tmrt_ge_*.,Expected low or contextual overhead sensitivity.,Pedestrian relevance requires future accessible-mask QA.,Design-only selection; requires human map QA before execution.,v10_non_raster_features
