cell_id,diagnostic_role,evidence,confidence,source_file,caveat
TP_0017,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0017,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0017,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0018,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0018,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0018,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0019,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0019,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0019,grass_or_open_park,Grass/park/open green label or grass fraction present.,medium,n24_candidate_pool.csv,
TP_0020,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0020,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0021,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0021,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0022,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0022,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0023,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0023,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0023,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0024,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0024,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0025,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0026,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0027,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0028,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0029,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0030,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0031,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0031,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0032,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0033,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0035,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0036,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0037,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0037,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0037,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0037,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0038,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0040,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0041,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0042,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0042,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0043,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0044,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0045,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0045,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0045,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0045,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0046,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0046,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0046,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0047,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0047,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0047,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0048,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0049,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0049,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0050,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0050,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0051,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0052,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0052,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0052,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0053,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0053,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0053,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0053,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0054,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0054,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0055,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0057,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0058,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0059,core_continuity,Existing Core 8 cell retained for continuity.,high,n24_candidate_pool.csv,
TP_0059,open_paved_hardscape,High SVF and low shade fraction.,medium,n24_candidate_pool.csv,
TP_0059,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0059,grass_or_open_park,Grass/park/open green label or grass fraction present.,medium,n24_candidate_pool.csv,
TP_0059,p90_p95_disagreement_probe,Existing p90 and max ranks diverge within Core 8.,medium,n24_candidate_pool.csv,
TP_0059,max_extreme_probe,Existing p90 and max ranks diverge within Core 8.,medium,n24_candidate_pool.csv,
TP_0059,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0059,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0060,open_paved_hardscape,High SVF and low shade fraction.,medium,n24_candidate_pool.csv,
TP_0060,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0060,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0060,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0061,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0061,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0062,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0062,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0063,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0063,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0064,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0064,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0064,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0065,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0066,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0067,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0068,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0069,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0070,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0071,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0071,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0071,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0072,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0072,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0073,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0073,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0074,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0074,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0074,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0075,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0075,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0075,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0076,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0077,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0078,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0079,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0080,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0081,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0081,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0082,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0082,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0082,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0083,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0083,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0083,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0084,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0085,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0086,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0087,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0087,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0088,overhead_confounded_legacy_diagnostic,Legacy overhead-confounded diagnostic; sensitivity only.,high,n24_candidate_pool.csv,
TP_0088,open_paved_hardscape,High SVF and low shade fraction.,medium,n24_candidate_pool.csv,
TP_0088,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0088,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0088,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0088,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0089,open_paved_hardscape,High SVF and low shade fraction.,medium,n24_candidate_pool.csv,
TP_0089,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0089,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0089,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0089,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0090,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0090,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0090,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0090,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0091,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0091,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0092,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0092,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0092,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0093,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0093,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0093,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0094,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0094,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0095,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0095,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0095,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0095,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0096,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0096,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0096,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0097,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0098,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0098,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0098,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0099,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0099,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0099,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0100,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0100,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0101,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0101,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0102,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0102,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0102,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0103,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0103,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0103,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0104,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0104,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0105,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0105,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0105,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0105,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0106,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0106,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0106,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0107,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0107,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0107,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0109,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0109,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0110,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0110,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0110,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0111,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0111,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0111,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0112,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0112,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0112,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0113,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0113,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0114,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0114,grass_or_open_park,Grass/park/open green label or grass fraction present.,medium,n24_candidate_pool.csv,
TP_0115,water_edge_or_blue_green,Water/river label or water fraction present.,medium,n24_candidate_pool.csv,
TP_0116,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0116,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0117,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0117,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0118,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
TP_0118,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0118,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0118,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0119,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0119,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0119,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0120,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0120,threshold_area_probe,Expected to test future threshold-area exceedance metrics.,medium,n24_candidate_pool.csv,
TP_0121,covered_walkway_or_pedestrian_overhead,Overhead or pedestrian shelter proxy is present.,medium,n24_candidate_pool.csv,
TP_0121,transport_overhead_or_viaduct,Transport/viaduct or high overhead fraction diagnostic.,medium,n24_candidate_pool.csv,Sensitivity only.
TP_0121,overhead_sensitivity_probe,Existing or expected base-vs-overhead sensitivity.,medium,n24_candidate_pool.csv,
TP_0122,street_canyon_wall_adjacent,"Low SVF, high building density, or canyon/wall label.",medium,n24_candidate_pool.csv,
