root_key,candidate_path,source,source_file,required,user_status,exists_by_metadata_check,is_dir,is_file,parent_exists,size_bytes,selected_for_resolution,root_kind,metadata_only,notes,claim_boundary
b85_f1_tiles_root,C:/OpenHeat-local/solweig/b85_f1_tiles,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_execution_package/b85_f1_execution_readme.md|outputs/v12_surrogate/b8_5_execution_package/b85_f1_qgis_parameter_contract.csv|outputs/v12_surrogate/b8_5_execution_package/b85_f1_required_asset_inventory.csv|outputs/v12_surrogate/b8_5_execution_package/B8_5_F1_STATUS.md|outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_asset_recovery_by_missing_asset.csv|outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_asset_remap_table.csv|outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_local_output_root_plan.csv|outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_missing_after_remap.csv,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=22548; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f3a_microbatch_root,C:/OpenHeat-local/solweig/b85_f3a_microbatch,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_manual_qgis_run_instructions.md|outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md|configs/v12/systemb_b85_f3a_microbatch_execution.yaml|scripts/v12_b85_f3a_prepare_microbatch.py|scripts/v12_b85_f3a_validate_microbatch.py|scripts/qgis/v12_b85_f3a_microbatch_qgis_runner.py|docs/v12/OpenHeat_SystemB_B8_5_F3a_microbatch_execution_CN.md,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=12; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f3b_onecell_root,C:/OpenHeat-local/solweig/b85_f3b_onecell,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f3b_onecell/b85_f3b_manual_qgis_run_instructions.md|outputs/v12_surrogate/b8_5_f3b_onecell/B8_5_F3B_STATUS.md|configs/v12/systemb_b85_f3b_onecell_fullslice.yaml|scripts/v12_b85_f3b_prepare_onecell_fullslice.py|scripts/v12_b85_f3b_validate_onecell_fullslice.py|scripts/qgis/v12_b85_f3b_onecell_qgis_runner.py|docs/v12/OpenHeat_SystemB_B8_5_F3b_onecell_fullslice_CN.md,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=13; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f3c_n24_root,C:/OpenHeat-local/solweig/b85_f3c_n24,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_manual_qgis_run_instructions.md|outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md|configs/v12/systemb_b85_f3c_n24_full_execution.yaml|scripts/v12_b85_f3c_prepare_n24.py|scripts/v12_b85_f3c_validate_n24.py|scripts/qgis/v12_b85_f3c_n24_qgis_runner.py|docs/v12/OpenHeat_SystemB_B8_5_F3c_N24_full_execution_CN.md,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=15; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
prior_f5_run_log_root,C:/OpenHeat-local/solweig/b85_f5_n150,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_manual_qgis_run_instructions.md|outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_report.md|outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md|outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_input_inventory.csv|outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_local_path_remap_audit.csv|outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_runtime_storage_estimate.csv|configs/v12/systemb_b85_f5_n150_multiforcing.yaml|configs/v12/systemb_b87b1_local_asset_remap.yaml,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=25; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b87c_n300_output_root,C:/OpenHeat-local/solweig/b87c_n300,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_local_path_remap_audit.csv|configs/v12/systemb_b87b1_local_asset_remap.yaml|scripts/v12_b87b1_manual_root_template.py|scripts/v12_b87b_path_remap_audit.py,no,,no,no,no,yes,,no,discovered_prior_text_root,true,source_count=4; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b87c_n300_asset_root,C:/OpenHeat-local/solweig/b87c_n300/assets,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_local_path_remap_audit.csv|configs/v12/systemb_b87b1_local_asset_remap.yaml|scripts/v12_b87b1_manual_root_template.py|scripts/v12_b87b_path_remap_audit.py,no,,no,no,no,no,,no,discovered_prior_text_root,true,source_count=4; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
discovered_data_root,C:/OpenHeat-local/solweig/data,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_template_schema_inventory.csv,no,,no,no,no,yes,,no,discovered_prior_text_root,true,source_count=5; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
b85_f2c_met_forcing_root,C:/OpenHeat-local/solweig/met_forcing/b85_f2c,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_fd02_weather_rows.csv|outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_generated_met_forcing_manifest.csv|outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_met_forcing_validation.csv|outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_next_remap_roots.yaml|outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_source_inventory.csv|outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_asset_status.csv|outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv|outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_local_path_remap_audit.csv,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=44; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
qgis_manual_check_root,C:/OpenHeat-local/solweig/qgis_checks,text_scan_prior_docs_configs_outputs,outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_asset_status.csv|outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_execution_precheck_checklist.md|outputs/v12_surrogate/b8_5_f2d_readiness_final/b85_f2d_root_inventory.csv|outputs/v12_surrogate/b8_7b_n300_execution_precheck/b87b_local_path_remap_audit.csv|configs/v12/systemb_b85_f2d_readiness_final.yaml|configs/v12/systemb_b85_f3a_microbatch_execution.yaml|configs/v12/systemb_b85_f3b_onecell_fullslice.yaml|configs/v12/systemb_b85_f3c_n24_full_execution.yaml,no,,yes,yes,no,yes,,yes,discovered_prior_text_root,true,source_count=12; metadata-only text scan,"B8.7b.1 local asset readiness only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster read/write/copy/open, no QGIS/SOLWEIG execution, no run-ready N300 manifest, no QGIS runner, no local runner, no Tmrt-to-WBGT conversion, and no System A/B coupling."
