feature_group,feature_column,available_in_dataset_contract,feature_role,primary_evidence_allowed,notes
vegetation_water,water_edge_or_water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__tree_canopy_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__gvi_percent,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__ndvi_mean,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__dynamic_world_tree_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__dynamic_world_grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__dynamic_world_water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__greenery_fraction_beta,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__distance_to_water,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,cu__distance_to_park,True,predictor_candidate,True,Compact non-target feature group member.
vegetation_water,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,road_or_hardscape_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,impervious_or_built_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,cu__road_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,cu__impervious_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,cu__built_up_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,cu__dynamic_world_built_up_fraction,True,predictor_candidate,True,Compact non-target feature group member.
road_hardscape,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
typology_context,typology_label,True,predictor_candidate,True,Compact non-target feature group member.
typology_context,cu__land_use_hint,True,predictor_candidate,True,Compact non-target feature group member.
coordinate_context_diagnostic,centroid_x_normalized,True,diagnostic_coordinate,False,Coordinates are diagnostic only.
coordinate_context_diagnostic,centroid_y_normalized,True,diagnostic_coordinate,False,Coordinates are diagnostic only.
coordinate_context_diagnostic,centroid_x,True,diagnostic_coordinate,False,Coordinates are diagnostic only.
coordinate_context_diagnostic,centroid_y,True,diagnostic_coordinate,False,Coordinates are diagnostic only.
interactions_safe,overhead_fraction_x_svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
interactions_safe,overhead_fraction_x_shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
interactions_safe,shade_fraction_x_hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
interactions_safe,svf_or_open_sky_x_hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
interactions_safe,building_density_x_svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
interactions_safe,tree_or_gvi_fraction_x_shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,overhead_fraction,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,building_density,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,building_height_or_canyon_proxy,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,road_or_hardscape_fraction,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,tree_or_gvi_fraction,True,predictor_candidate,True,Compact non-target feature group member.
minimal_physics_interpretable,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,building_density,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,building_density_x_svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,building_height_or_canyon_proxy,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_area_m2_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_density,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_density_v08,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_height_p90,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__building_pixel_fraction_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__built_up_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_area_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_density,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_height_max_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_height_mean_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_height_p50_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_building_height_p90_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_open_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_shade_overhead_sens_minus_base,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_shade_v08_minus_proxy,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_shade_v10_minus_v08,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_svf_v08_minus_proxy,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__delta_svf_v10_minus_v08,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__distance_to_park,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__distance_to_water,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_building_height_max_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_building_height_mean_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_building_height_p50_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_building_height_p90_m_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_max_height,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_mean_height_all,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dsm_mean_height_buildings_only,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dynamic_world_built_up_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dynamic_world_grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dynamic_world_tree_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__dynamic_world_water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__greenery_fraction_beta,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__gvi_percent,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__impervious_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__impervious_fraction_dw_component,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__impervious_fraction_green_component,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__impervious_fraction_old_beta,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__impervious_fraction_vector_component,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__land_use_hint,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__large_park_distance_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__max_building_height_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__max_building_height_m_v08,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__mean_building_height,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__mean_building_height_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__mean_building_height_m_v08,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_building_pixels_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_covered_walkway,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_elevated_rail,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_elevated_road,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_open_pixels,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_open_pixels_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_overhead_features,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_pedestrian_bridge,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__n_viaduct,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__ndvi_mean,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__ndvi_norm_for_greenery_proxy,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_area_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_density,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_height_max_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_height_mean_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_height_p50_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_height_p90_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_building_pixel_count,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_dsm_max_all_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_dsm_mean_all_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__old_open_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__open_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__open_pixel_fraction_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_covered_walkway_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_elevated_rail_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_elevated_road_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_pedestrian_bridge_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_total_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_area_viaduct_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_covered_walkway,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_elevated_rail,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_elevated_road,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_pedestrian_bridge,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_total,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_fraction_viaduct,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_shade_proxy,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_shade_proxy_cell_scope,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_shade_proxy_open_scope,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__overhead_weighted_shade_area_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__park_distance_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__pedestrian_shelter_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__road_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_base_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_overhead_sens,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_proxy_v07,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_0800_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_0900_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1000_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1000_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_10_16_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_10_16_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1100_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1100_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1200_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1200_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1300_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1300_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_13_15_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_13_15_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1400_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1400_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1500_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1500_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1600_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1600_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1700_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1800_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_1900_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_peak_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_peak_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_umep_selected,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_v08_umep_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__shade_fraction_without_overhead_sens,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_proxy_v07,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_mean_all_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_mean_all_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_mean_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_mean_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_p10_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_p10_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_p90_open_v10,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_p90_open_with_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_umep_selected,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__svf_v08_umep_veg,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__tree_canopy_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__typology_label,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__umep_dsm_resolution_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_area_m2,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_density,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_height_max_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_height_mean_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_height_p50_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_height_p90_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_building_pixel_count,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_dsm_max_all_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_dsm_mean_all_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__v10_open_pixel_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__water_distance_m,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,cu__water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,grass_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,impervious_or_built_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,overhead_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,overhead_fraction_x_shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,overhead_fraction_x_svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,road_or_hardscape_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,shade_fraction_x_hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,svf_or_open_sky,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,svf_or_open_sky_x_hour_sgt,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,tree_or_gvi_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,tree_or_gvi_fraction_x_shade_fraction,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,typology_label,True,predictor_candidate,True,Compact non-target feature group member.
full_safe_compact,water_edge_or_water_fraction,True,predictor_candidate,True,Compact non-target feature group member.
