selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,sampling_feature_coverage_reason,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,replacement_of_cell_id,source_feature_completeness,auto_qa_flag,manual_review_required,manual_review_reason,notes
24,TP_0986,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf,clean_confident_hot_anchor_null_control,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
25,TP_0555,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf|water_edge_or_blue_green_mixed,civic_institutional,broad diagnostic stratum coverage,quota_fill:open_hardscape_high_svf,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
26,TP_0890,selected_new,added126,pending_b7_new_run,water_edge_or_blue_green_mixed,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:water_edge_or_blue_green_mixed,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
27,TP_0745,selected_new,added126,pending_b7_new_run,water_edge_or_blue_green_mixed,overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed,water,broad diagnostic stratum coverage,quota_fill:water_edge_or_blue_green_mixed,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
28,TP_0248,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|grass_or_open_park|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,commercial,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
29,TP_0882,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|grass_or_open_park|road_edge_or_high_road_fraction,transport,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
30,TP_0349,selected_new,added126,pending_b7_new_run,grass_or_open_park,open_hardscape_high_svf|grass_or_open_park,park_open_space,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
31,TP_0864,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|grass_or_open_park,commercial,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
32,TP_0380,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|grass_or_open_park,residential,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
33,TP_0257,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,residential,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
34,TP_0379,selected_new,added126,pending_b7_new_run,grass_or_open_park,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park|mixed_upper_tail_probe_proxy,residential,broad diagnostic stratum coverage,quota_fill:grass_or_open_park,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
35,TP_0126,selected_new,added126,pending_b7_new_run,road_edge_or_high_road_fraction,shaded_canopy_low_svf|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:road_edge_or_high_road_fraction,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
36,TP_0889,selected_new,added126,pending_b7_new_run,dense_built_or_low_open_pixel,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:dense_built_or_low_open_pixel,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
37,TP_0060,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|water_edge_or_blue_green_mixed|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:max_extreme_probe_proxy,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
38,TP_0569,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:max_extreme_probe_proxy,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
39,TP_0089,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:max_extreme_probe_proxy,,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
40,TP_0489,selected_new,added126,pending_b7_new_run,max_extreme_probe_proxy,open_hardscape_high_svf|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,broad diagnostic stratum coverage,quota_fill:max_extreme_probe_proxy,,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
41,TP_0587,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed|road_edge_or_high_road_fraction,transport,forced feature-space edge coverage,,,high_road_hardscape,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
42,TP_0170,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,forced feature-space edge coverage,,,high_road_hardscape,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
43,TP_0947,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,transport,forced feature-space edge coverage,,,high_tree_gvi,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
44,TP_0006,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,civic_institutional,forced feature-space edge coverage,,,dense_built_high_density,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
45,TP_0933,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf,civic_institutional,forced feature-space edge coverage,,,dense_built_high_density,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
46,TP_0899,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
47,TP_0160,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
48,TP_0361,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
49,TP_0543,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf|water_edge_or_blue_green_mixed,transport,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
50,TP_0448,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
51,TP_0276,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
52,TP_0901,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
53,TP_0237,selected_new,added126,pending_b7_new_run,background_feature_space_fill,background_feature_space_fill,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
54,TP_0207,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
55,TP_0792,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
56,TP_0657,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
57,TP_0669,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
58,TP_0407,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
59,TP_0808,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel,transport,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,geographically_isolated_edge_cell|overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
60,TP_0020,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
61,TP_0584,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
62,TP_0233,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
63,TP_0403,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
64,TP_0599,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
65,TP_0412,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,geographically_isolated_edge_cell,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
66,TP_0693,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
67,TP_0319,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
68,TP_0552,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
69,TP_0049,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed|dense_built_or_low_open_pixel,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
70,TP_0050,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
71,TP_0560,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,commercial,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
72,TP_0963,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
73,TP_0056,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
74,TP_0135,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
75,TP_0691,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
76,TP_0028,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
77,TP_0293,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,commercial,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
78,TP_0438,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
79,TP_0430,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|grass_or_open_park,commercial,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
80,TP_0097,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
81,TP_0475,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,overhead_semantics_ambiguous,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
82,TP_0719,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,civic_institutional,Latin Hypercube feature-space coverage,,qmc_lhs_nearest_with_diversity_penalty,,,1.0,,False,,New B7 SOLWEIG run needed; selected by automated B6 feature-space design.
