selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,sampling_feature_coverage_reason,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,replacement_of_cell_id,source_feature_completeness,auto_qa_flag,manual_review_required,manual_review_reason,notes
11,TP_0366,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|covered_walkway_or_pedestrian_overhead,exposed_bus_stop_waiting_node,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
12,TP_0409,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,civic_institutional,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
13,TP_0433,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed,tree_shaded_reference,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
14,TP_0492,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed|dense_built_or_low_open_pixel,dense_shaded_low_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
15,TP_0542,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed,river_edge_shaded_walkway,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
16,TP_0565,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|road_edge_or_high_road_fraction|max_extreme_probe_proxy,confident_hot_anchor,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
17,TP_0575,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
18,TP_0627,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,street_canyon_wall_adjacent_low_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
19,TP_0676,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
20,TP_0773,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
21,TP_0835,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|grass_or_open_park,grass_or_park_open,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
22,TP_0857,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,hdb_canyon,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
23,TP_0960,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|covered_walkway_or_pedestrian_overhead,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
24,TP_0986,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf,clean_confident_hot_anchor_null_control,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.
