selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,auto_qa_flag,quick_map_check_status,only_question,replace_if,replacement_candidate_1,replacement_candidate_2,replacement_candidate_3,reviewer_notes,geometry_or_centroid_available,longitude_or_x,latitude_or_y
57,TP_0669,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0881,TP_0122,TP_0090,,True,103.84095635475953,1.346819727081532
59,TP_0808,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel,transport,geographically_isolated_edge_cell|overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0122,TP_0228,TP_0131,,True,103.86162331824028,1.3504370312035692
61,TP_0584,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0090,TP_0881,,True,103.8427534680586,1.3441066273849656
63,TP_0403,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0347,TP_0090,,True,103.86252173098954,1.3377759194434322
65,TP_0412,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,residential,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0617,TP_0090,TP_0062,,True,103.8445505650607,1.3386804328462016
70,TP_0050,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0347,,True,103.85802883061828,1.326923595292268
77,TP_0293,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,commercial,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.84185487595656,1.3350629856689402
78,TP_0438,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0256,TP_0090,TP_0122,,True,103.8418548915516,1.3395848082714237
81,TP_0475,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.849043370909,1.340489136981649
86,TP_0454,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,residential,geographically_isolated_edge_cell|overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0617,TP_0131,TP_0122,,True,103.85623183849373,1.3395847155188605
87,TP_0967,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0823,TP_0897,TP_0256,,True,103.84814490430036,1.3558633377482563
89,TP_0226,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0256,TP_0131,,True,103.85982599754296,1.332349763521825
106,TP_0018,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0090,TP_0199,,True,103.85533315896734,1.3260192563506468
107,TP_0948,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0228,TP_0122,,True,103.85713054681231,1.354958901331806
108,TP_0871,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0062,TP_0617,,True,103.84005781029563,1.3531502807543798
109,TP_0592,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|road_edge_or_high_road_fraction|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,transport,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0617,TP_0131,TP_0122,,True,103.84994195482923,1.34410658883664
112,TP_0908,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0131,TP_0122,TP_0090,,True,103.84724632882345,1.35405461436749
115,TP_0822,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0373,TP_0945,TP_0431,,True,103.84814487686404,1.3513415158531927
120,TP_0053,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0080,TP_0256,,True,103.86072449422724,1.326923566734575
121,TP_0286,selected_new,added126,pending_b7_new_run,overhead_or_transport_structure,overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0139,TP_0581,TP_0373,,True,103.86162313116569,1.334158472315439
126,TP_0600,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0256,TP_0881,TP_0131,,True,103.85713044133654,1.344106528996165
129,TP_0936,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0881,TP_0617,TP_0823,,True,103.84634776915328,1.3549589837684624
131,TP_0183,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.84724620099836,1.3314455027825758
132,TP_0670,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.84185491661349,1.3468197240867512
133,TP_0378,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,park_open_space,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0431,TP_0373,TP_0157,,True,103.84005776819969,1.3377760848687068
137,TP_0082,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0256,TP_0090,TP_0228,,True,103.8607245041782,1.3278279312344103
138,TP_0718,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0122,TP_0881,TP_0131,,True,103.85892760062112,1.3477239682130788
140,TP_0023,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.85982593007944,1.3260192120690546
141,TP_0707,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|dense_built_or_low_open_pixel,residential,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0617,TP_0101,TP_0823,,True,103.84904341714324,1.3477240525499763
148,TP_0746,selected_new,added126,pending_b7_new_run,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,transport,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0945,TP_0373,TP_0157,,True,103.8580290476264,1.348628341913405
149,TP_0365,selected_new,added126,pending_b7_new_run,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.85443469700078,1.336871638368513
2,TP_0059,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,open_paved_high_svf,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0431,TP_0373,TP_0157,,True,103.84005774121766,1.3278280747343825
3,TP_0088,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,overhead_confounded_transport_deck,extreme_outlier_feature|overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0431,TP_0373,TP_0157,,True,103.84005774366224,1.328732439325346
4,TP_0098,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|mixed_upper_tail_probe_proxy,civic_institutional,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0062,TP_0256,,True,103.84904329630956,1.328732398268949
8,TP_0254,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|dense_built_or_low_open_pixel,residential,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0256,TP_0090,TP_0199,,True,103.85892745038076,1.3332541375531193
9,TP_0301,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,residential,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0062,TP_0256,TP_0080,,True,103.84904333639676,1.3350629500236777
10,TP_0326,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|covered_walkway_or_pedestrian_overhead,stable_high_rise_residential_estate,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0256,TP_0090,TP_0062,,True,103.8454491106292,1.3359673350134982
15,TP_0542,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed,river_edge_shaded_walkway,overhead_semantics_ambiguous,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0090,TP_0131,TP_0122,,True,103.85713042383976,1.3422978001792272
16,TP_0565,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|road_edge_or_high_road_fraction|max_extreme_probe_proxy,confident_hot_anchor,geographically_isolated_edge_cell,pending,"Is this obviously unsuitable, e.g. almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, or clearly wrong type?","Replace only if almost pure water, invalid geometry, pure rooftop/building body, AOI edge artifact, clearly wrong type, or excessive near-duplicate with no added value.",TP_0373,TP_0431,TP_0174,,True,103.85173906971652,1.3432022114359992
