cell_id,reason_for_possible_replacement,replacement_candidate_1,replacement_candidate_1_reason,replacement_candidate_2,replacement_candidate_2_reason,replacement_candidate_3,replacement_candidate_3_reason,replacement_gap
TP_0366,nan,TP_0157,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.235,TP_0373,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.240,TP_0431,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.271,False
TP_0409,nan,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.260,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.418,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.300,False
TP_0433,nan,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.225,TP_0352,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.335,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.346,False
TP_0492,nan,TP_0062,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.440,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.494,TP_0352,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.275,False
TP_0542,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.249,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.314,TP_0122,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.335,False
TP_0565,geographically_isolated_edge_cell,TP_0373,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.222,TP_0431,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.386,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.326,False
TP_0575,geographically_isolated_edge_cell|overhead_semantics_ambiguous,TP_0431,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.232,TP_0373,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.255,TP_0157,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.347,False
TP_0627,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.412,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.507,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.442,False
TP_0676,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.325,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.401,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.281,False
TP_0773,nan,TP_0062,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.273,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.375,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.316,False
TP_0835,nan,TP_0401,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.210,TP_0826,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.225,TP_0881,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.249,False
TP_0857,nan,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.345,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.388,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.399,False
TP_0960,nan,TP_0945,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.336,TP_0157,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.343,TP_0373,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.350,False
TP_0986,nan,TP_0373,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.257,TP_0945,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.311,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.331,False
TP_0555,nan,TP_0158,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.288,TP_0431,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.497,TP_0157,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.329,False
TP_0890,nan,TP_0131,4 shared strata; feature completeness 1.00; feature distance 0.292,TP_0347,3 shared strata; feature completeness 1.00; feature distance 0.299,TP_0826,3 shared strata; feature completeness 1.00; feature distance 0.304,False
TP_0745,overhead_semantics_ambiguous,TP_0139,3 shared strata; feature completeness 1.00; feature distance 0.284,TP_0131,3 shared strata; feature completeness 1.00; feature distance 0.326,TP_0431,3 shared strata; feature completeness 1.00; feature distance 0.357,False
TP_0248,nan,TP_0256,3 shared strata; feature completeness 1.00; feature distance 0.306,TP_0090,3 shared strata; feature completeness 1.00; feature distance 0.375,TP_0617,3 shared strata; feature completeness 1.00; feature distance 0.446,False
TP_0882,nan,TP_0826,3 shared strata; feature completeness 1.00; feature distance 0.229,TP_0228,3 shared strata; feature completeness 1.00; feature distance 0.397,TP_0617,2 shared strata; feature completeness 1.00; feature distance 0.216,False
TP_0349,overhead_semantics_ambiguous,TP_0431,2 shared strata; feature completeness 1.00; feature distance 0.355,TP_0157,1 shared strata; feature completeness 1.00; feature distance 0.264,TP_0158,1 shared strata; feature completeness 1.00; feature distance 0.338,False
TP_0864,overhead_semantics_ambiguous,TP_0823,2 shared strata; feature completeness 1.00; feature distance 0.239,TP_0228,2 shared strata; feature completeness 1.00; feature distance 0.270,TP_0401,2 shared strata; feature completeness 1.00; feature distance 0.285,False
TP_0380,nan,TP_0350,2 shared strata; feature completeness 1.00; feature distance 0.225,TP_0826,2 shared strata; feature completeness 1.00; feature distance 0.252,TP_0881,2 shared strata; feature completeness 1.00; feature distance 0.264,False
TP_0257,overhead_semantics_ambiguous,TP_0228,5 shared strata; feature completeness 1.00; feature distance 0.244,TP_0131,5 shared strata; feature completeness 1.00; feature distance 0.367,TP_0256,4 shared strata; feature completeness 1.00; feature distance 0.266,False
TP_0379,overhead_semantics_ambiguous,TP_0881,4 shared strata; feature completeness 1.00; feature distance 0.247,TP_0131,4 shared strata; feature completeness 1.00; feature distance 0.277,TP_0228,4 shared strata; feature completeness 1.00; feature distance 0.301,False
TP_0126,nan,TP_0617,3 shared strata; feature completeness 1.00; feature distance 0.217,TP_0131,3 shared strata; feature completeness 1.00; feature distance 0.233,TP_0191,2 shared strata; feature completeness 1.00; feature distance 0.216,False
TP_0889,overhead_semantics_ambiguous,TP_0090,5 shared strata; feature completeness 1.00; feature distance 0.458,TP_0131,4 shared strata; feature completeness 1.00; feature distance 0.396,TP_0256,4 shared strata; feature completeness 1.00; feature distance 0.446,False
TP_0060,nan,TP_0431,4 shared strata; feature completeness 1.00; feature distance 0.457,TP_0373,3 shared strata; feature completeness 1.00; feature distance 0.489,TP_0158,2 shared strata; feature completeness 1.00; feature distance 0.334,False
TP_0569,overhead_semantics_ambiguous,TP_0373,5 shared strata; feature completeness 1.00; feature distance 0.303,TP_0431,5 shared strata; feature completeness 1.00; feature distance 0.336,TP_0581,3 shared strata; feature completeness 1.00; feature distance 0.336,False
TP_0089,overhead_semantics_ambiguous,TP_0373,5 shared strata; feature completeness 1.00; feature distance 0.401,TP_0431,5 shared strata; feature completeness 1.00; feature distance 0.422,TP_0581,3 shared strata; feature completeness 1.00; feature distance 0.366,False
TP_0489,nan,TP_0431,3 shared strata; feature completeness 1.00; feature distance 0.330,TP_0373,3 shared strata; feature completeness 1.00; feature distance 0.340,TP_0617,1 shared strata; feature completeness 1.00; feature distance 0.292,False
TP_0587,overhead_semantics_ambiguous,TP_0122,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.213,TP_0131,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.252,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.382,False
TP_0170,overhead_semantics_ambiguous,TP_0131,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.327,TP_0617,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.288,TP_0122,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.311,False
TP_0947,nan,TP_0580,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.229,TP_0881,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.250,TP_0191,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.255,False
TP_0006,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.416,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.423,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.315,False
TP_0933,nan,TP_0945,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.245,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.348,TP_0373,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.393,False
TP_0899,nan,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.260,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.331,TP_0580,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.372,False
TP_0160,nan,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.272,TP_0101,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.292,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.306,False
TP_0361,nan,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.351,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.393,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.415,False
TP_0543,nan,TP_0158,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.244,TP_0431,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.379,TP_0157,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.231,False
TP_0448,nan,TP_0617,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.322,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.400,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.478,False
TP_0276,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.375,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.403,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.433,False
TP_0901,nan,TP_0617,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.229,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.474,TP_0122,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.365,False
TP_0237,nan,TP_0288,feature completeness 1.00; feature distance 0.283,TP_0617,feature completeness 1.00; feature distance 0.294,TP_0581,feature completeness 1.00; feature distance 0.303,False
TP_0207,nan,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.257,TP_0945,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.327,TP_0158,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.341,False
TP_0792,nan,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.214,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.259,TP_0617,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.291,False
TP_0657,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.347,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.315,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.336,False
TP_0669,overhead_semantics_ambiguous,TP_0881,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.228,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.290,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.347,False
TP_0407,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.295,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.345,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.358,False
TP_0808,geographically_isolated_edge_cell|overhead_semantics_ambiguous,TP_0122,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.330,TP_0228,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.375,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.408,False
TP_0020,nan,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.346,TP_0062,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.215,TP_0347,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.377,False
TP_0584,overhead_semantics_ambiguous,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.263,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.298,TP_0881,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.302,False
TP_0233,nan,TP_0262,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.205,TP_0101,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.307,TP_0350,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.312,False
TP_0403,overhead_semantics_ambiguous,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.255,TP_0347,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.267,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.272,False
TP_0599,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.300,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.375,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.386,False
TP_0412,geographically_isolated_edge_cell,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.376,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.394,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.298,False
TP_0693,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.274,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.422,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.330,False
TP_0319,nan,TP_0347,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.283,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.385,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.442,False
TP_0552,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.286,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.328,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.343,False
TP_0049,nan,TP_0062,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.335,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.415,TP_0101,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.260,False
TP_0050,overhead_semantics_ambiguous,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.303,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.334,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.346,False
TP_0560,nan,TP_0101,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.243,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.339,TP_0262,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.341,False
TP_0963,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.445,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.469,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.434,False
TP_0056,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.425,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.431,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.347,False
TP_0135,nan,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.298,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.320,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.328,False
TP_0691,nan,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.332,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.385,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.398,False
TP_0028,nan,TP_0373,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.249,TP_0174,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.268,TP_0288,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.284,False
TP_0293,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.260,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.344,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.310,False
TP_0438,overhead_semantics_ambiguous,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.317,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.352,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.389,False
TP_0430,nan,TP_0401,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.240,TP_0823,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.308,TP_0350,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.328,False
TP_0097,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.303,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.336,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.340,False
TP_0475,overhead_semantics_ambiguous,TP_0090,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.336,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.381,TP_0122,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.248,False
TP_0719,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.314,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.364,TP_0131,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.439,False
TP_0215,nan,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.430,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.432,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.446,False
TP_0465,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.369,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.417,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.336,False
TP_0458,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.403,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.440,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.323,False
TP_0454,geographically_isolated_edge_cell|overhead_semantics_ambiguous,TP_0617,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.348,TP_0131,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.454,TP_0122,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.310,False
TP_0967,overhead_semantics_ambiguous,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.237,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.279,TP_0256,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.329,False
TP_0720,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.401,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.491,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.407,False
TP_0226,overhead_semantics_ambiguous,TP_0090,same primary stratum; 5 shared strata; feature completeness 1.00; feature distance 0.373,TP_0256,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.395,TP_0131,same primary stratum; 4 shared strata; feature completeness 1.00; feature distance 0.428,False
TP_0192,nan,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.294,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.341,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.349,False
TP_0313,nan,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.211,TP_0401,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.238,TP_0580,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.239,False
TP_0744,nan,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.284,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.314,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.370,False
TP_0498,nan,TP_0617,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.240,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.240,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.263,False
TP_0318,nan,TP_0101,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.235,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.300,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.307,False
TP_0740,nan,TP_0823,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.270,TP_0897,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.289,TP_0101,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.307,False
TP_0081,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.416,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.475,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.326,False
TP_0893,nan,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.352,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.390,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.392,False
TP_0040,nan,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.341,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.286,TP_0080,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.369,False
TP_0381,nan,TP_0062,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.233,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.324,TP_0256,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.357,False
TP_0608,nan,TP_0617,2 shared strata; feature completeness 1.00; feature distance 0.308,TP_0131,2 shared strata; feature completeness 1.00; feature distance 0.390,TP_0373,1 shared strata; feature completeness 1.00; feature distance 0.302,False
TP_0041,nan,TP_0062,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.344,TP_0090,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.401,TP_0617,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.423,False
TP_0346,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.421,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.462,TP_0256,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.358,False
TP_0554,nan,TP_0352,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.236,TP_0262,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.261,TP_0350,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.261,False
TP_0162,nan,TP_0617,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.403,TP_0090,same primary stratum; 3 shared strata; feature completeness 1.00; feature distance 0.434,TP_0347,same primary stratum; 2 shared strata; feature completeness 1.00; feature distance 0.378,False
TP_0005,nan,TP_0262,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.233,TP_0062,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.284,TP_0352,same primary stratum; 1 shared strata; feature completeness 1.00; feature distance 0.316,False
