b85_cell_rank,selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,primary_sampling_stratum,secondary_sampling_strata,typology_label,sampling_feature_coverage_reason,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,replacement_of_cell_id,source_feature_completeness,auto_qa_flag,manual_review_required,manual_review_reason,notes,n24_source_file,n24_provenance_status,fallback_used,b85_selection_note,n_b7_label_rows,n_scenarios,n_hours,mean_delta_tmrt_p90_c,min_delta_tmrt_p90_c,max_delta_tmrt_p90_c,mean_m_rad_pct01,min_m_rad_pct01,max_m_rad_pct01,mean_tmrt_p90_c,min_tmrt_p90_c,max_tmrt_p90_c,has_reuse_existing_n24_label
11,11,TP_0366,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|covered_walkway_or_pedestrian_overhead,exposed_bus_stop_waiting_node,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.046848297119141354,-0.0662002563476562,0.1898784637451243,0.5060402684563758,0.4697986577181208,0.5369127516778524,55.863339233398435,45.489559173583984,61.75421142578125,True
12,12,TP_0409,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,civic_institutional,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-4.323651123046874,-5.477420806884766,-3.159107208251953,0.08389261744966439,0.0805369127516778,0.0939597315436241,51.49283981323242,42.11679458618164,58.58767318725586,True
13,13,TP_0433,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|water_edge_or_blue_green_mixed,tree_shaded_reference,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-20.72538146972656,-25.852081298828125,-12.44074249267578,0.0335570469798657,0.0335570469798657,0.0335570469798657,35.09110946655274,32.86842346191406,36.113311767578125,True
14,14,TP_0492,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed|dense_built_or_low_open_pixel,dense_shaded_low_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-21.02916564941406,-26.25333404541016,-12.51784896850586,0.01946308724832212,0.0134228187919463,0.0268456375838926,34.78732528686523,32.791316986083984,35.66880416870117,True
15,15,TP_0542,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed,river_edge_shaded_walkway,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-8.854166793823243,-20.38070106506348,-4.079128265380859,0.06778523489932882,0.0604026845637583,0.0738255033557047,46.962324142456055,35.702274322509766,57.684173583984375,True
16,16,TP_0565,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|road_edge_or_high_road_fraction|max_extreme_probe_proxy,confident_hot_anchor,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.8688430786132812,0.424530029296875,1.1515998840332031,0.8469798657718121,0.8322147651006712,0.8657718120805369,56.685334014892575,46.43846893310547,62.45024108886719,True
17,17,TP_0575,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|road_edge_or_high_road_fraction|max_extreme_probe_proxy,transport,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-0.9990840911865213,-3.007333755493164,0.4702510833740305,0.38859060402684564,0.1342281879194631,0.6577181208053692,54.817406845092776,43.6960334777832,62.07150268554688,True
18,18,TP_0627,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel|mixed_upper_tail_probe_proxy,street_canyon_wall_adjacent_low_svf,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.2841930389404311,0.0561065673828125,0.4717216491699219,0.5818791946308725,0.5369127516778524,0.6241610738255033,56.100683975219724,45.73172378540039,61.889766693115234,True
19,19,TP_0676,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|mixed_upper_tail_probe_proxy,residential,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-0.33629913330078126,-0.6869258880615234,-0.117898941040039,0.39060402684563755,0.3020134228187919,0.4563758389261745,55.48019180297852,44.87749481201172,61.46115493774414,True
20,20,TP_0773,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|water_edge_or_blue_green_mixed,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-1.6096309661865233,-2.108610153198242,-0.8352375030517578,0.19060402684563754,0.1275167785234899,0.2885906040268456,54.20685997009277,43.33869552612305,60.69436264038086,True
21,21,TP_0835,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|grass_or_open_park,grass_or_park_open,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-21.074925231933594,-26.3271713256836,-12.53053665161132,0.00134228187919462,0.0,0.0067114093959731,34.7415657043457,32.77862930297852,35.60452651977539,True
22,22,TP_0857,retained_n24,n24_seed,completed_n24,shaded_canopy_low_svf,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|dense_built_or_low_open_pixel,hdb_canyon,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,-19.594758605957033,-23.726242065429688,-11.87368392944336,0.04429530201342276,0.0402684563758389,0.046979865771812,36.22173233032227,33.435482025146484,38.12889099121094,True
23,23,TP_0960,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf|covered_walkway_or_pedestrian_overhead,park_open_space,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.14787178039550708,-0.0017967224121093,0.2422599792480468,0.5436241610738255,0.4966442953020134,0.5771812080536913,55.964362716674806,45.54765319824219,61.8186149597168,True
24,24,TP_0986,retained_n24,n24_seed,completed_n24,open_hardscape_high_svf,open_hardscape_high_svf,clean_confident_hot_anchor_null_control,continuity anchor retained from completed N24 labels,retained_frozen_b2_2_n24,,,,1.0,,False,,Completed N24 label retained as seed / continuity label.,outputs/v12_systemb_n150_sample_design/n150_retained_n24_cells.csv,original_retained_n24_cells,no,Original retained B6/B7 N24 continuity cell.,10,2,5,0.9352210998535156,0.4824752807617258,1.2213287353515625,0.902013422818792,0.8791946308724832,0.9261744966442952,56.751712036132815,46.48641204833984,62.53352355957031,True
