feature_name,feature_family,type,units,source_type,exact_definition,null_policy,proxy_flag,production_candidate,diagnostic_only,leakage_risk,claim_boundary,feature_version
water_edge_contact_frac,local boundary / edge context,float,fraction,compact_proxy,"water fraction where present, otherwise inverse distance-to-water within 100 m clipped to [0, 1].",null if water fraction and distance are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
park_edge_contact_frac,local boundary / edge context,float,fraction,compact_proxy,"grass/park fraction where present, otherwise inverse distance-to-park within 100 m clipped to [0, 1].",null if green fraction and distance are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
hardscape_edge_contact_frac,local boundary / edge context,float,fraction,compact_proxy,"road, hardscape, or impervious compact fraction clipped to [0, 1].",null if hardscape compact columns are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
neighbourhood_shade_mean,neighbourhood-scale context,float,fraction,compact_cell_context,mean compact shade fraction among neighbouring cells within configured centroid radius.,null if centroids or shade columns are missing,True,yes,no,low_context_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
neighbourhood_overhead_frac,neighbourhood-scale context,float,fraction,compact_cell_context,mean compact overhead fraction among neighbouring cells within configured centroid radius.,null if centroids or overhead columns are missing,True,yes,no,low_context_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
neighbourhood_open_frac,neighbourhood-scale context,float,fraction,compact_cell_context,mean compact open fraction among neighbouring cells within configured centroid radius.,null if centroids or open columns are missing,True,yes,no,low_context_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
tree_building_overlap_proxy,tree/building shadow interaction,float,fraction_product,compact_proxy,compact tree fraction times compact building-density proxy.,null if tree or building-density columns are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
tree_near_tall_building_frac,tree/building shadow interaction,float,fraction_product,compact_proxy,compact tree fraction times clipped compact tall-building-height proxy.,null if tree or height columns are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
canyon_axis_orientation_deg,canyon orientation / height roughness,float,degrees,building_vector,"Dominant canyon/building axis orientation, reserved for future footprint geometry processing.",null without building-footprint geometry engine/source,False,yes,no,low,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
height_roughness_iqr_m,canyon orientation / height roughness,float,m,compact_height_proxy,"building p90 height minus p50 height, falling back to p90 minus mean height.",null if height quantile/mean columns are missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
height_asymmetry_idx,canyon orientation / height roughness,float,ratio,compact_height_proxy,height_roughness_iqr_m divided by absolute p90 height plus epsilon.,null if height roughness or p90 height is missing,True,yes,no,medium_proxy,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
typology_geometry_class,typology-specific geometry,category,class,compact_typology_proxy,"typology label crossed with low/mid/high compact shade, overhead, open, and built-density bins.",unknown bins used where source values are missing,True,yes,no,low_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
typology_shade_interaction,typology-specific geometry,float,fraction_delta,compact_typology_proxy,cell shade fraction minus candidate-universe median shade fraction for the same typology.,null if shade or typology support is missing,True,yes,no,low_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
typology_support_count,typology-specific geometry,integer,count,compact_typology_proxy,count of candidate-universe cells with the same typology label.,0 if typology is missing,True,no,yes,low_no_target,"B8.6g compact/vector feature acquisition only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no Tmrt-to-WBGT conversion, and no System A/B coupling.",b86g_v0_1
