sprint_id,artifact_type,artifact_path,exists,row_count_if_csv,key_models,key_targets,validation_schemes,key_findings_short,limitations_short,can_support_model_card_claims
Sprint 2A,metrics_csv,outputs/v11_level1/feature_ablation/feature_ablation_high_tail_metrics.csv,True,22,feature ablation candidates,official WBGT high tail,LOSO,High-tail diagnostics document underprediction under hot conditions.,"Supports caveat, not operational high-tail correction.",yes
Sprint 2A,metrics_csv,outputs/v11_level1/feature_ablation/feature_ablation_per_station_metrics.csv,True,594,feature ablation candidates,station residuals,LOSO,Per-station metrics show station bias remains.,Station residuals must not become cell modifiers.,yes
Sprint 2B,report,outputs/v11_level1/blocked_time_high_tail/sprint2b_blocked_time_high_tail_report.md,True,,M4_like; M7_like; L1_full_dynamic,hourly max/mean official WBGT,blocked-date; future holdout,Blocked-time and future-block diagnostics passed.,Temporal robustness is not sufficient for prospective forecast claims.,yes
Sprint 2B,metrics_csv,outputs/v11_level1/blocked_time_high_tail/blocked_time_metrics.csv,True,12,M4_like; M7_like; L1_full_dynamic,hourly max/mean official WBGT,blocked-date CV,Blocked-date performance weaker than LOSO and supports conservative status.,High-tail compression persists.,yes
Sprint 2B,metrics_csv,outputs/v11_level1/blocked_time_high_tail/future_holdout_metrics.csv,True,12,M4_like; M7_like; L1_full_dynamic,hourly max/mean official WBGT,future holdout last block,Future-block diagnostics are available for stress-testing.,One historical future block is not a live prospective forecast evaluation.,yes
Sprint 2B,metrics_csv,outputs/v11_level1/blocked_time_high_tail/threshold_scan_metrics.csv,True,24,M4_like; M7_like; L1_full_dynamic,ge31/ge33 thresholds,blocked-date threshold scan,Threshold scan shows fixed nominal threshold is not calibrated for events.,"Threshold offsets are diagnostic, not official advisory rules.",yes
Sprint 2B,metrics_csv,outputs/v11_level1/blocked_time_high_tail/residual_by_station.csv,True,324,M4_like; M7_like; L1_full_dynamic,station residuals,blocked-date CV,Station residual diagnostics document remaining spatial/station bias.,Must not be interpreted as local-cell adjustment.,yes
Sprint 2B,metrics_csv,outputs/v11_level1/blocked_time_high_tail/s142_sensitivity_metrics.csv,True,24,S142 sensitivity,official WBGT high events,blocked-date CV sensitivity,S142 sensitivity checked because high events are station-concentrated.,ge33 and station-heavy tails remain exploratory.,yes
Sprint 2C,report,outputs/v11_level1/event_calibration/sprint2c_event_calibration_report.md,True,,event score thresholds,ge31/ge32/ge33,blocked-time threshold scan,Event calibration established diagnostic thresholds and advisory mapping candidates.,Thresholds are not official warnings.,yes
Sprint 2C,metrics_csv,outputs/v11_level1/event_calibration/operating_point_summary.csv,True,540,M4_like; M7_like; L1_full_dynamic,ge31/ge32/ge33,blocked-time operating points,Best-F1 ge31 requires lower score threshold than nominal 31 C.,ge33 performance is sparse and unstable.,yes
Sprint 2C,metrics_csv,outputs/v11_level1/event_calibration/advisory_mapping_candidates.csv,True,20,event score candidates,advisory mapping,blocked-time diagnostic,Mapping candidates are available for reporting and research review.,Not a public-health warning policy.,yes
Sprint 2C,metrics_csv,outputs/v11_level1/event_calibration/threshold_stability_summary.csv,True,30,event score candidates,threshold stability,blocked-time diagnostic,Threshold stability informs conservative event-score caveats.,"Stability is diagnostic, not prospective validation.",yes
Sprint 2C,metrics_csv,outputs/v11_level1/event_calibration/score_bin_event_rates.csv,True,612,event score candidates,binned event rates,blocked-time diagnostic,Event rates by score bin support probability-companion motivation.,Bin monotonicity and support vary.,yes
Sprint 2C,metrics_csv,outputs/v11_level1/event_calibration/event_calibration_by_station.csv,True,1620,event score candidates,station event rates,blocked-time diagnostic,Station-level event calibration shows residual station bias.,Station bias cannot be promoted to cell-level WBGT.,yes
Sprint 3A,report,outputs/v11_level1/formula_v2/sprint3a_formula_v2_proxy_benchmark_report.md,True,,formula candidates; event scores,hourly max official WBGT; ge31/ge33,LOSO; future-block diagnostics,Formula-v2 proxy benchmark passed but simple formula/k-sweep/affine candidates do not solve high-tail compression.,No formula-v2 implementation is promoted here.,yes
Sprint 3A,metrics_csv,outputs/v11_level1/formula_v2/formula_candidate_registry.csv,True,12,existing proxy; k-sweep; affine candidates,formula input availability,registry/feasibility,Advanced physics formulas remain feasibility-only without validated implementation.,Do not implement physics formula from memory.,yes
Sprint 3A,metrics_csv,outputs/v11_level1/formula_v2/formula_vs_event_score_comparison.csv,True,5,formula candidates vs event scores,ge31/ge33; high tail,diagnostic comparison,Simple formula alternatives underperform event-score diagnostics for high-tail handling.,Companion audit only; no retroactive recalibration.,yes
Sprint 3A,metrics_csv,outputs/v11_level1/formula_v2/advanced_formula_feasibility.csv,True,3,advanced formula feasibility,formula-v2 feasibility,availability audit,Advanced formula path is separated from current Level 1 package.,Feasibility does not equal implementation.,yes
Sprint 3B,report,outputs/v11_level1/probability_calibration/sprint3b_pge31_probability_calibration_report.md,True,,P_ge31 candidates,ge31,station-grouped; blocked-date calibration,Probability calibration companion passed and selected conservative diagnostic default.,"Diagnostic probability is retrospective, not an official warning probability.",yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/probability_model_selection_summary.csv,True,240,M4_like + logistic,ge31,blocked-date calibration,M4_like + logistic + blocked-date selected as conservative p_ge31_diagnostic.,Selection is diagnostic and retrospective.,yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/probability_calibration_metrics.csv,True,240,probability calibration candidates,ge31,station-grouped; blocked-date,Calibration metrics provide Brier/ECE/AUC comparison.,Residual station bias remains.,yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/probability_threshold_metrics.csv,True,21040,probability thresholds,ge31,probability threshold scan,Probability threshold diagnostics available for screening flags.,Screening flags are optional and not official advisory levels.,yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/probability_vs_event_score_mapping.csv,True,75,probability/event score mapping,ge31,diagnostic mapping,Mapping relates probability output to event score for interpretation.,Mapping should not be treated as warning policy.,yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/reliability_summary.csv,True,120,probability candidates,ge31,reliability bins,Reliability summaries support caveats around monotonicity and calibration.,Reliability varies by model/validation context.,yes
Sprint 3B,metrics_csv,outputs/v11_level1/probability_calibration/probability_by_station.csv,True,81,M4_like + logistic,ge31,station diagnostic,Station probability bias examples quantify residual station effects.,Station bias is not a cell-level modifier.,yes
Sprint 3B,sample_source_csv,outputs/v11_level1/probability_calibration/p_ge31_diagnostic_predictions.csv,True,10473,M4_like + logistic,p_ge31_diagnostic,blocked-date calibration,Source exists for a small contract sample export.,Full export is not created in Sprint 4A.,yes
Architecture docs,doc,docs/v11/SystemA_Level1_Level2_architecture_discussion_record_CN.md,False,,System A Level 1/2,architecture boundary,architecture discussion,"If present, would support System A/System B boundary wording.",Missing in current checkout if exists=False.,gap_if_missing
Architecture docs,doc,docs/v11/OpenHeat_SystemA_next_development_plan_GPT_Codex_CN.md,False,,System A plan,development plan,planning doc,"If present, would support next-step wording.",Missing in current checkout if exists=False.,gap_if_missing
Architecture docs,doc,docs/handoff/OpenHeat_v1_1_v1_2_canonical_development_handoff_2026-05-24.md,True,,canonical handoff,v1.1/v1.2 boundary,handoff,Handoff exists but terminal preview may be encoding-sensitive; AGENTS guidance controls claim boundary.,Do not rely on garbled terminal text for exact quotes.,yes_with_encoding_caveat
