register_id,batch_id,role,dimension_or_gate,status,severity,blocker_status,notes,evidence,claim_boundary
M011,b85_f3c_n24,formal_validation_label_source,DEM mode,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M012,b85_f3c_n24,formal_validation_label_source,per-cell asset layout,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M013,b85_f3c_n24,formal_validation_label_source,output target / Tmrt extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M014,b85_f3c_n24,formal_validation_label_source,postrun label extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f3c_n24/B8_5_F3C_STATUS.md;configs/v12/systemb_b85_f3c_n24_full_execution.yaml;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_n24_manifest.csv;outputs/v12_surrogate/b8_5_f3c_n24/b85_f3c_pairwise_delta_by_cell_hour.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M015,b85_f4_n24_decision,formal_validation_label_source,grid_geometry_path,WARN_DERIVED_GRID_FEATURE_SOURCE,INFO,not_blocking,F5 references derived v10 feature/sample artifacts; planned B87C locks v07 geometry. Review lineage if geometry edits are suspected.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M016,b85_f4_n24_decision,formal_validation_label_source,base_svf_source_or_generation_method,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M017,b85_f4_n24_decision,formal_validation_label_source,overhead_as_canopy_rule,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M018,b85_f4_n24_decision,formal_validation_label_source,DEM mode,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M019,b85_f4_n24_decision,formal_validation_label_source,per-cell asset layout,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M020,b85_f4_n24_decision,formal_validation_label_source,output target / Tmrt extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M021,b85_f4_n24_decision,formal_validation_label_source,postrun label extraction convention,WARN_REVIEW_VALUE_DIFFERENCE,INFO,not_blocking,Value differs from planned reference; evaluate whether this is lineage-only or protocol-critical.,outputs/v12_surrogate/b8_5_f4_n24_decision/B8_5_F4_STATUS.md;outputs/v12_surrogate/b8_5_f4_n24_decision/b85_f4_decision_matrix.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M022,b85_f3a_microbatch,smoke_diagnostic_only,building_dsm_path,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M023,b85_f3a_microbatch,smoke_diagnostic_only,building_dsm_version_status,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M024,b85_f3a_microbatch,smoke_diagnostic_only,vegetation_cdsm_path,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M025,b85_f3a_microbatch,smoke_diagnostic_only,vegetation_cdsm_version_status,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M026,b85_f3a_microbatch,smoke_diagnostic_only,grid_geometry_path,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M027,b85_f3a_microbatch,smoke_diagnostic_only,base_svf_source_or_generation_method,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M028,b85_f3a_microbatch,smoke_diagnostic_only,overhead_svf_source_or_generation_method,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M029,b85_f3a_microbatch,smoke_diagnostic_only,overhead_layer_path,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M030,b85_f3a_microbatch,smoke_diagnostic_only,overhead_as_canopy_rule,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M031,b85_f3a_microbatch,smoke_diagnostic_only,DEM mode,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M032,b85_f3a_microbatch,smoke_diagnostic_only,landcover mode,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M033,b85_f3a_microbatch,smoke_diagnostic_only,tile extent / tile buffer / tile resolution,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M034,b85_f3a_microbatch,smoke_diagnostic_only,per-cell asset layout,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M035,b85_f3a_microbatch,smoke_diagnostic_only,SVF artifact type,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M036,b85_f3a_microbatch,smoke_diagnostic_only,SOLWEIG parameters,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M037,b85_f3a_microbatch,smoke_diagnostic_only,QGIS/UMEP algorithm id,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
M038,b85_f3a_microbatch,smoke_diagnostic_only,forcing_day_id set,WARN_NONFINAL_PROTOCOL_DIFFERENCE,WARN_NONFINAL,not_blocking,Nonfinal diagnostic/deprecated batch; not a final ML mixing failure.,outputs/v12_surrogate/b8_5_f3a_microbatch/B8_5_F3A_STATUS.md;configs/v12/systemb_b85_f3a_microbatch_execution.yaml;outputs/v12_surrogate/b8_5_f3a_microbatch/b85_f3a_microbatch_manifest.csv,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
