cell_id,scenario,task_name,target_path,status,runtime_used,note,claim_boundary
TP_0972,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0972/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0673,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0673/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0680,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0680/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0968,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0968/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0793,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0793/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0122,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0122/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0601,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0601/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0153,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0153/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0083,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0083/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0704,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0704/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0581,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0581/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0344,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0344/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0855,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0855/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0612,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0612/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0090,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0090/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0681,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0681/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0610,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0610/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0373,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0373/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0611,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0611/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0590,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0590/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0171,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0171/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0102,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0102/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0767,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0767/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0359,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0359/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0939,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0939/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0169,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0169/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0649,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0649/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0099,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0099/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0003,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0003/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0589,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0589/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0119,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0119/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0159,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0159/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0199,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0199/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0859,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0859/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0887,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0887/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0831,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0831/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0888,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0888/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0860,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0860/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0945,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0945/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0915,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0915/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0974,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0974/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0572,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0572/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0774,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0774/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0001,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0001/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0946,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0946/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0973,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0973/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0571,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0571/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0832,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0832/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0917,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0917/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0570,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0570/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0197,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0197/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0110,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0110/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0255,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0255/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0632,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0632/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0944,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0944/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0546,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0546/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0603,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0603/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0538,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0538/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0568,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0568/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0074,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0074/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
TP_0227,all,focus_cell_geojson,C:/OpenHeat-local/solweig/b87c_n300/assets/TP_0227/focus_cell.geojson,CREATED_OR_REFRESHED,stdlib_python,focus cell vector copied from locked grid source,B8.7b.4/B87C local-only materialization package; no repo raster writes; no AOI/B9; no WBGT/risk/hazard/exposure/vulnerability outputs; no observed truth; no causal feature-importance claims.
